Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Vehicle_Type
200720E101303,Slight,11-07-2019,52.443408,Daylight,Birmingham,-1.856523,1,2,Dry,Single carriageway,Urban,Car
200720E101403,Slight,16-07-2019,52.461588,Daylight,Birmingham,-1.873979,4,3,Dry,Single carriageway,Urban,Car
200720E101603,Slight,10-07-2019,52.46249,Darkness - lights lit,Birmingham,-1.876773,1,2,Dry,Single carriageway,Urban,Car
200720E101703,Serious,10-07-2019,52.462117,Daylight,Birmingham,-1.864116,1,1,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720E101803,Slight,01-07-2019,52.453233,Daylight,Birmingham,-1.879447,4,2,Dry,Single carriageway,Urban,Car
200720E101903,Slight,21-07-2019,52.444189,Daylight,Birmingham,-1.834599,1,2,Wet or damp,Single carriageway,Urban,Car
200720E102003,Slight,19-07-2019,52.453529,Daylight,Birmingham,-1.827942,1,1,Dry,Single carriageway,Urban,Car
200720E102101,Slight,04-07-2019,52.465301,Daylight,Birmingham,-1.901935,1,4,Dry,Dual carriageway,Urban,Goods over 3.5t. and under 7.5t
200720E102303,Serious,16-07-2019,52.456454,Daylight,Birmingham,-1.864869,2,2,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720E102403,Slight,17-07-2019,52.444354,Daylight,Birmingham,-1.824447,2,2,Wet or damp,Single carriageway,Urban,Car
200720E102503,Slight,24-07-2019,52.458798,Daylight,Birmingham,-1.871043,2,2,Wet or damp,Single carriageway,Urban,Bus or coach (17 or more pass seats)
200720E102603,Slight,21-07-2019,52.45555,Daylight,Birmingham,-1.861046,1,1,Dry,Single carriageway,Urban,Car
200720E102803,Slight,23-07-2019,52.453855,Daylight,Birmingham,-1.872677,1,3,Dry,Single carriageway,Urban,Car
200720E103002,Slight,26-06-2019,52.43211,Daylight,Birmingham,-1.883623,1,2,Dry,Single carriageway,Urban,Car
200720E103101,Slight,18-07-2019,52.43729,Daylight,Birmingham,-1.977902,4,3,Dry,Single carriageway,Urban,Car
200720E103201,Slight,18-07-2019,52.413015,Darkness - lights lit,Birmingham,-1.972621,1,2,Dry,Dual carriageway,Urban,Car
200720E103501,Slight,23-07-2019,52.390902,Daylight,Birmingham,-1.994383,1,1,Wet or damp,Dual carriageway,Urban,Car
200720E103701,Slight,26-07-2019,52.436106,Daylight,Birmingham,-1.935244,2,2,Wet or damp,Single carriageway,Urban,Car
200720E103801,Serious,19-07-2019,52.434415,Daylight,Birmingham,-2.004821,1,1,Dry,Single carriageway,Urban,Car
200720E104601,Slight,27-07-2019,52.416431,Daylight,Birmingham,-1.969826,2,2,Dry,Dual carriageway,Urban,Car
200720E104703,Serious,30-07-2019,52.456117,Daylight,Birmingham,-1.886062,1,1,Dry,Single carriageway,Urban,Car
200720E104803,Serious,27-06-2019,52.45387,Daylight,Birmingham,-1.886951,1,1,Wet or damp,Single carriageway,Urban,Car
200720E104901,Slight,29-07-2019,52.446531,Daylight,Birmingham,-1.930226,1,2,Dry,Dual carriageway,Urban,Car
200720E105101,Slight,20-07-2019,52.415621,Daylight,Birmingham,-1.968503,1,2,Wet or damp,Single carriageway,Urban,Car
200720E105202,Slight,27-06-2019,52.408872,Daylight,Birmingham,-1.948221,1,1,Dry,Single carriageway,Urban,Car
200720E105203,Serious,02-07-2019,52.455507,Darkness - lights lit,Birmingham,-1.908874,1,2,Wet or damp,Dual carriageway,Urban,Car
200720E105302,Slight,02-07-2019,52.437423,Daylight,Birmingham,-1.89273,1,2,Wet or damp,Single carriageway,Urban,Car
200720E105303,Slight,25-07-2019,52.455576,Daylight,Birmingham,-1.88518,1,1,Wet or damp,Single carriageway,Urban,Car
200720E105403,Slight,26-07-2019,52.453219,Daylight,Birmingham,-1.865909,2,1,Wet or damp,Single carriageway,Urban,Car
200720E105502,Serious,29-06-2019,52.429085,Daylight,Birmingham,-1.921724,1,2,Dry,One way street,Urban,Agricultural vehicle
200720E105503,Slight,27-07-2019,52.455038,Darkness - lights lit,Birmingham,-1.886506,1,2,Dry,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720E105603,Slight,28-07-2019,52.45414,Daylight,Birmingham,-1.88695,1,2,Dry,Single carriageway,Urban,Motorcycle 50cc and under
200720E105703,Slight,28-07-2019,52.447578,Daylight,Birmingham,-1.887997,1,1,Dry,Single carriageway,Urban,Car
200720E105803,Slight,29-07-2019,52.458798,Daylight,Birmingham,-1.871043,1,2,Dry,Single carriageway,Urban,Car
200720E105903,Fatal,31-07-2019,52.451903,Daylight,Birmingham,-1.899022,1,1,Dry,Single carriageway,Urban,Car
200720E106103,Slight,13-07-2019,52.456634,Daylight,Birmingham,-1.865457,1,2,Wet or damp,Single carriageway,Urban,Car
200720E107001,Serious,29-07-2019,52.389734,Daylight,Birmingham,-2.001584,1,3,Dry,Single carriageway,Urban,Car
200720E107401,Slight,30-07-2019,52.444482,Daylight,Birmingham,-1.979811,1,2,Dry,Single carriageway,Urban,Car
200720E107601,Slight,29-07-2019,52.417152,Darkness - lights lit,Birmingham,-1.976589,1,1,Wet or damp,Single carriageway,Urban,Car
200720E107802,Slight,03-07-2019,52.436524,Darkness - lights lit,Birmingham,-1.892585,1,1,Wet or damp,Single carriageway,Urban,Car
200720E108001,Slight,01-08-2019,52.409782,Daylight,Birmingham,-1.994381,1,1,Dry,Single carriageway,Urban,Goods over 3.5t. and under 7.5t
200720E108002,Serious,04-07-2019,52.411165,Daylight,Birmingham,-1.885443,1,1,Dry,Single carriageway,Urban,Car
200720E108101,Slight,02-08-2019,52.439165,Darkness - lights lit,Birmingham,-1.940241,2,2,Dry,Dual carriageway,Urban,Car
200720E108201,Slight,02-08-2019,52.452741,Daylight,Birmingham,-1.9414,1,1,Dry,Single carriageway,Urban,Bus or coach (17 or more pass seats)
200720E108301,Slight,31-07-2019,52.431333,Daylight,Birmingham,-1.923043,1,3,Dry,Roundabout,Urban,Car
200720E108302,Slight,19-06-2019,52.412908,Daylight,Birmingham,-1.931015,1,2,Dry,Dual carriageway,Urban,Car
200720E108501,Slight,21-05-2019,52.395577,Daylight,Birmingham,-2.004817,1,1,Dry,Dual carriageway,Urban,Motorcycle over 500cc
200720E108502,Slight,22-06-2019,52.418393,Daylight,Birmingham,-1.931741,1,1,Wet or damp,Single carriageway,Urban,Car
200720E108701,Slight,03-08-2019,52.435127,Daylight,Birmingham,-1.958634,1,2,Dry,Roundabout,Urban,Car
200720E108801,Slight,03-08-2019,52.430277,Daylight,Birmingham,-1.975111,1,2,Dry,Dual carriageway,Urban,Car
200720E108901,Slight,25-06-2019,52.411757,Daylight,Birmingham,-1.976004,1,2,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E109001,Serious,04-08-2019,52.425424,Daylight,Birmingham,-1.986143,1,3,Dry,Single carriageway,Urban,Car
200720E109102,Slight,23-06-2019,52.407602,Darkness - lights lit,Birmingham,-1.92676,1,2,Dry,Single carriageway,Urban,Car
200720E109303,Slight,17-07-2019,52.452654,Daylight,Birmingham,-1.845604,1,1,Wet or damp,Single carriageway,Urban,Car
200720E109402,Slight,23-06-2019,52.419515,Daylight,Birmingham,-1.874981,2,2,Dry,Roundabout,Urban,Car
200720E109403,Slight,26-07-2019,52.455732,Daylight,Birmingham,-1.862517,2,2,Dry,Dual carriageway,Urban,Car
200720E109503,Slight,01-08-2019,52.453529,Daylight,Birmingham,-1.908436,2,2,Dry,Single carriageway,Urban,Car
200720E109602,Slight,03-07-2019,52.407683,Daylight,Birmingham,-1.914558,1,2,Dry,Dual carriageway,Urban,Car
200720E109603,Slight,02-08-2019,52.4575,Daylight,Birmingham,-1.839111,1,2,Wet or damp,Single carriageway,Urban,Car
200720E109703,Slight,03-08-2019,52.454738,Darkness - lights lit,Birmingham,-1.857958,2,2,Dry,Roundabout,Urban,Car
200720E109803,Slight,03-08-2019,52.464918,Daylight,Birmingham,-1.877208,1,2,Dry,Single carriageway,Urban,Car
200720E109901,Slight,06-08-2019,52.455688,Darkness - lights lit,Birmingham,-1.910345,1,2,Dry,Dual carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720E110003,Slight,05-08-2019,52.456736,Darkness - lights lit,Birmingham,-1.876495,1,3,Dry,Single carriageway,Urban,Car
200720E110101,Slight,07-08-2019,52.395757,Daylight,Birmingham,-2.000996,1,1,Dry,Dual carriageway,Urban,Motorcycle over 125cc and up to 500cc
200720E110201,Slight,10-08-2019,52.447697,Daylight,Birmingham,-1.925369,1,2,Dry,Dual carriageway,Urban,Car
200720E110301,Slight,12-08-2019,52.433246,Daylight,Birmingham,-1.990701,2,2,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720E110402,Slight,29-06-2019,52.398978,Daylight,Birmingham,-1.939561,2,2,Wet or damp,Single carriageway,Urban,Car
200720E110403,Slight,02-08-2019,52.447927,Daylight,Birmingham,-1.877843,1,2,Dry,Single carriageway,Urban,Car
200720E110503,Slight,06-08-2019,52.462949,Daylight,Birmingham,-1.886044,1,2,Dry,Single carriageway,Urban,Car
200720E110603,Slight,06-08-2019,52.451566,Darkness - lights lit,Birmingham,-1.838397,2,2,Dry,Single carriageway,Urban,Car
200720E110702,Slight,08-07-2019,52.437987,Daylight,Birmingham,-1.835799,1,1,Dry,Dual carriageway,Urban,Car
200720E110703,Slight,08-08-2019,52.452755,Daylight,Birmingham,-1.853991,1,2,Dry,Single carriageway,Urban,Car
200720E111003,Slight,08-04-2019,52.44506,Darkness - lights lit,Birmingham,-1.887709,1,1,Dry,Single carriageway,Urban,Car
200720E111103,Slight,31-07-2019,52.448367,Daylight,Birmingham,-1.868572,1,2,Dry,Single carriageway,Urban,Car
200720E111603,Slight,11-08-2019,52.459361,Darkness - lights lit,Birmingham,-1.89459,1,2,Dry,Single carriageway,Urban,Car
200720E111703,Serious,05-08-2019,52.446829,Daylight,Birmingham,-1.86019,3,1,Dry,Single carriageway,Urban,Car
200720E111803,Serious,10-08-2019,52.457746,Daylight,Birmingham,-1.822186,1,1,Dry,Dual carriageway,Urban,Motorcycle over 500cc
200720E112003,Slight,13-08-2019,52.453865,Daylight,Birmingham,-1.881506,1,1,Dry,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720E112103,Slight,15-08-2019,52.462857,Daylight,Birmingham,-1.88369,1,2,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720E112203,Slight,20-07-2019,52.452581,Daylight,Birmingham,-1.858406,1,2,Dry,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720E112403,Slight,26-07-2019,52.463389,Daylight,Birmingham,-1.876476,2,1,Wet or damp,Single carriageway,Urban,Car
200720E112602,Slight,02-06-2019,52.428467,Daylight,Birmingham,-1.842747,1,3,Dry,Dual carriageway,Urban,Car
200720E112701,Slight,27-07-2019,52.435661,Daylight,Birmingham,-1.945689,1,2,Dry,Dual carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E112902,Slight,26-06-2019,52.439072,Daylight,Birmingham,-1.840355,1,2,Dry,Single carriageway,Urban,Car
200720E113001,Slight,06-08-2019,52.42685,Daylight,Birmingham,-1.944082,1,2,Dry,Single carriageway,Urban,Car
200720E113103,Slight,04-08-2019,52.447128,Daylight,Birmingham,-1.887998,1,3,Dry,Single carriageway,Urban,Car
200720E113203,Slight,15-08-2019,52.467007,Daylight,Birmingham,-1.900165,2,3,Wet or damp,Dual carriageway,Urban,Car
200720E113302,Slight,05-07-2019,52.418709,Daylight,Birmingham,-1.878218,1,2,Wet or damp,Dual carriageway,Urban,Car
200720E113503,Slight,16-08-2019,52.465278,Daylight,Birmingham,-1.877354,1,1,Dry,Single carriageway,Urban,Car
200720E113602,Slight,08-07-2019,52.443018,Darkness - lights lit,Birmingham,-1.833132,1,2,Wet or damp,Roundabout,Urban,Car
200720E113902,Slight,13-07-2019,52.402297,Daylight,Birmingham,-1.925593,1,1,Wet or damp,Single carriageway,Urban,Car
200720E113903,Slight,18-08-2019,52.442987,Daylight,Birmingham,-1.812241,3,2,Wet or damp,Dual carriageway,Urban,Car
200720E114002,Slight,14-07-2019,52.429411,Daylight,Birmingham,-1.88113,1,2,Dry,Single carriageway,Urban,Car
200720E114003,Slight,19-08-2019,52.438791,Daylight,Birmingham,-1.916116,1,2,Wet or damp,Single carriageway,Urban,Other vehicle
200720E114103,Slight,18-08-2019,52.449115,Daylight,Birmingham,-1.821632,2,2,Wet or damp,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720E114203,Serious,19-08-2019,52.44981,Darkness - lights lit,Birmingham,-1.872982,3,1,Wet or damp,Single carriageway,Urban,Goods over 3.5t. and under 7.5t
200720E114601,Slight,16-08-2019,52.448876,Daylight,Birmingham,-1.944495,1,1,Dry,Single carriageway,Urban,Bus or coach (17 or more pass seats)
200720E114801,Slight,17-08-2019,52.411487,Daylight,Birmingham,-1.972328,1,2,Wet or damp,Single carriageway,Urban,Car
200720E115001,Slight,19-08-2019,52.431805,Daylight,Birmingham,-1.97511,1,2,Wet or damp,Dual carriageway,Urban,Taxi/Private hire car
200720E115201,Slight,21-08-2019,52.427112,Daylight,Birmingham,-1.929375,1,2,Dry,Dual carriageway,Urban,Car
200720E115301,Slight,23-08-2019,52.434927,Daylight,Birmingham,-1.919507,1,2,Dry,Single carriageway,Urban,Goods over 3.5t. and under 7.5t
200720E115701,Slight,29-07-2019,52.45219,Daylight,Birmingham,-1.834422,1,1,Dry,Dual carriageway,Urban,Car
200720E115702,Serious,16-07-2019,52.42167,Daylight,Birmingham,-1.872328,1,1,Dry,Single carriageway,Urban,Car
200720E115801,Slight,25-08-2019,52.413282,Daylight,Birmingham,-1.961889,1,2,Dry,Dual carriageway,Urban,Car
200720E115901,Serious,25-08-2019,52.395396,Daylight,Birmingham,-1.978658,1,1,Dry,Single carriageway,Urban,Bus or coach (17 or more pass seats)
200720E116003,Slight,14-08-2019,52.459342,Daylight,Birmingham,-1.875457,1,2,Dry,Single carriageway,Urban,Car
200720E116103,Slight,14-08-2019,52.467008,Daylight,Birmingham,-1.900901,1,2,Wet or damp,Dual carriageway,Urban,Motorcycle over 125cc and up to 500cc
200720E116303,Slight,15-08-2019,52.442987,Daylight,Birmingham,-1.812241,1,2,Wet or damp,Single carriageway,Urban,Bus or coach (17 or more pass seats)
200720E116503,Slight,21-08-2019,52.458383,Daylight,Birmingham,-1.907838,1,1,Dry,Single carriageway,Urban,Car
200720E116603,Slight,21-08-2019,52.45388,Darkness - lights lit,Birmingham,-1.897546,2,2,Dry,Roundabout,Urban,Car
200720E116801,Slight,25-08-2019,52.405914,Daylight,Birmingham,-1.977918,2,2,Dry,Dual carriageway,Urban,Car
200720E116802,Slight,07-07-2019,52.434457,Daylight,Birmingham,-1.893178,1,1,Dry,Single carriageway,Urban,Car
200720E117001,Slight,26-08-2019,52.435312,Daylight,Birmingham,-1.976285,1,2,Dry,Dual carriageway,Urban,Car
200720E117101,Slight,30-08-2019,52.418501,Daylight,Birmingham,-1.982323,2,2,Dry,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720E117201,Slight,01-09-2019,52.387936,Daylight,Birmingham,-1.998351,1,3,Dry,Dual carriageway,Urban,Car
200720E117202,Slight,09-07-2019,52.440131,Daylight,Birmingham,-1.826082,1,2,Wet or damp,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E117602,Slight,13-07-2019,52.419914,Daylight,Birmingham,-1.920858,1,3,Wet or damp,Single carriageway,Urban,Car
200720E118001,Serious,03-08-2019,52.425425,Daylight,Birmingham,-1.993202,1,1,Dry,Single carriageway,Rural,Car
200720E118103,Slight,30-08-2019,52.463678,Daylight,Birmingham,-1.896199,1,1,Dry,Single carriageway,Urban,Car
200720E118201,Slight,02-09-2019,52.426683,Darkness - lights lit,Birmingham,-1.985555,3,2,Dry,Single carriageway,Urban,Car
200720E118402,Slight,14-07-2019,52.425544,Daylight,Birmingham,-1.879964,1,2,Dry,Single carriageway,Urban,Car
200720E118403,Slight,21-08-2019,52.463399,Darkness - lights lit,Birmingham,-1.88619,2,2,Dry,Roundabout,Urban,Car
200720E118503,Slight,21-08-2019,52.456826,Daylight,Birmingham,-1.876494,1,1,Dry,Single carriageway,Urban,Car
200720E118702,Slight,16-07-2019,52.42952,Daylight,Birmingham,-1.824506,1,1,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720E118903,Slight,25-08-2019,52.455416,Daylight,Birmingham,-1.906961,1,2,Dry,Dual carriageway,Urban,Car
200720E119003,Slight,25-08-2019,52.458798,Daylight,Birmingham,-1.871043,1,2,Dry,Single carriageway,Urban,Car
200720E119102,Slight,20-07-2019,52.418478,Daylight,Birmingham,-1.924389,1,2,Wet or damp,Single carriageway,Urban,Car
200720E119303,Slight,28-08-2019,52.458465,Darkness - lights lit,Birmingham,-1.897535,1,1,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E119503,Slight,29-08-2019,52.463209,Daylight,Birmingham,-1.876182,1,1,Dry,Single carriageway,Urban,Car
200720E119603,Slight,29-08-2019,52.452825,Darkness - lights lit,Birmingham,-1.838393,1,2,Dry,Single carriageway,Urban,Bus or coach (17 or more pass seats)
200720E119803,Slight,30-08-2019,52.457925,Daylight,Birmingham,-1.821891,1,2,Dry,Single carriageway,Urban,Bus or coach (17 or more pass seats)
200720E119902,Slight,25-06-2019,52.431294,Daylight,Birmingham,-1.876713,2,2,Wet or damp,Roundabout,Urban,Car
200720E119903,Slight,02-09-2019,52.446559,Daylight,Birmingham,-1.860044,1,2,Dry,Single carriageway,Urban,Other vehicle
200720E120003,Slight,02-09-2019,52.453227,Daylight,Birmingham,-1.873414,1,2,Dry,Single carriageway,Urban,Car
200720E120103,Slight,04-09-2019,52.451893,Daylight,Birmingham,-1.887986,1,2,Dry,Single carriageway,Urban,Car
200720E120302,Slight,13-07-2019,52.421715,Daylight,Birmingham,-1.836007,2,1,Wet or damp,Dual carriageway,Urban,Motorcycle 125cc and under
200720E120701,Slight,05-09-2019,52.398087,Darkness - lights lit,Birmingham,-1.957052,2,1,Dry,Single carriageway,Urban,Taxi/Private hire car
200720E121101,Slight,01-09-2019,52.434955,Daylight,Birmingham,-1.99732,1,2,Dry,Single carriageway,Urban,Car
200720E121301,Slight,02-09-2019,52.431446,Darkness - lights lit,Birmingham,-1.975405,1,2,Dry,Dual carriageway,Urban,Goods over 3.5t. and under 7.5t
200720E121801,Slight,05-09-2019,52.422993,Daylight,Birmingham,-1.968498,1,2,Dry,Single carriageway,Urban,Car
200720E122201,Slight,05-09-2019,52.40115,Daylight,Birmingham,-1.982476,1,2,Dry,Single carriageway,Urban,Car
200720E122403,Slight,06-09-2019,52.454028,Daylight,Birmingham,-1.866201,1,1,Dry,Single carriageway,Urban,Car
200720E122901,Slight,06-09-2019,52.407802,Darkness - lights lit,Birmingham,-1.975859,1,2,Dry,Dual carriageway,Urban,Car
200720E123101,Slight,07-09-2019,52.404834,Daylight,Birmingham,-1.973214,1,2,Dry,Dual carriageway,Urban,Taxi/Private hire car
200720E123303,Slight,08-09-2019,52.463029,Daylight,Birmingham,-1.876035,1,1,Dry,Single carriageway,Urban,Car
200720E123403,Slight,04-09-2019,52.420743,Daylight,Birmingham,-1.789543,1,1,Dry,Single carriageway,Urban,Car
200720E123503,Slight,08-09-2019,52.459613,Darkness - lights lit,Birmingham,-1.876634,1,2,Dry,Single carriageway,Urban,Taxi/Private hire car
200720E123603,Slight,05-09-2019,52.455236,Daylight,Birmingham,-1.907108,2,2,Dry,Dual carriageway,Urban,Motorcycle over 125cc and up to 500cc
200720E123703,Slight,07-09-2019,52.457478,Daylight,Birmingham,-1.823217,1,2,Dry,Single carriageway,Urban,Car
200720E123803,Slight,18-08-2019,52.446895,Daylight,Birmingham,-1.841357,1,2,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E123903,Slight,30-08-2019,52.463339,Daylight,Birmingham,-1.835116,1,2,Dry,Slip road,Urban,Car
200720E124003,Slight,12-09-2019,52.443679,Daylight,Birmingham,-1.857552,2,3,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E124103,Slight,20-08-2019,52.465368,Daylight,Birmingham,-1.877354,1,2,Dry,Single carriageway,Urban,Car
200720E124203,Slight,07-09-2019,52.453069,Darkness - lights lit,Birmingham,-1.896076,3,1,Dry,Single carriageway,Urban,Car
200720E124801,Slight,07-09-2019,52.454534,Daylight,Birmingham,-1.933304,1,2,Dry,Roundabout,Urban,Car
200720E125101,Serious,06-09-2019,52.430909,Darkness - lights lit,Birmingham,-2.003644,1,2,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E125201,Serious,08-09-2019,52.406634,Daylight,Birmingham,-1.984385,1,1,Dry,Single carriageway,Urban,Car
200720E125503,Serious,13-09-2019,52.454557,Daylight,Birmingham,-1.857517,1,1,Dry,Single carriageway,Urban,Car
200720E125703,Slight,13-09-2019,52.457366,Daylight,Birmingham,-1.876493,1,1,Dry,Single carriageway,Urban,Car
200720E125901,Slight,12-09-2019,52.401327,Daylight,Birmingham,-1.968807,1,1,Dry,Single carriageway,Urban,Car
200720E126001,Slight,12-09-2019,52.44591,Daylight,Birmingham,-1.94494,1,2,Dry,Dual carriageway,Urban,Car
200720E126002,Serious,05-08-2019,52.442323,Daylight,Birmingham,-1.85123,1,6,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720E126103,Slight,13-09-2019,52.45879,Daylight,Birmingham,-1.800547,1,2,Dry,Single carriageway,Urban,Car
200720E126203,Slight,13-09-2019,52.44915,Daylight,Birmingham,-1.847088,3,3,Dry,Roundabout,Urban,Car
200720E126303,Serious,12-09-2019,52.453219,Darkness - lights lit,Birmingham,-1.865909,1,2,Dry,Single carriageway,Urban,Car
200720E126403,Slight,07-09-2019,52.46349,Daylight,Birmingham,-1.88722,2,2,Dry,Dual carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720E126601,Slight,08-09-2019,52.416341,Daylight,Birmingham,-1.969679,1,2,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E126701,Slight,13-09-2019,52.397644,Daylight,Birmingham,-1.986593,1,2,Dry,Dual carriageway,Urban,Car
200720E126702,Slight,31-07-2019,52.426917,Daylight,Birmingham,-1.907021,1,2,Dry,Single carriageway,Urban,Car
200720E126801,Slight,14-09-2019,52.43736,Daylight,Birmingham,-1.92877,1,2,Dry,Single carriageway,Urban,Car
200720E127203,Slight,05-09-2019,52.456295,Daylight,Birmingham,-1.884443,1,2,Dry,Single carriageway,Urban,Car
200720E127302,Slight,09-08-2019,52.435033,Daylight,Birmingham,-1.845224,1,2,Dry,Single carriageway,Urban,Taxi/Private hire car
200720E127502,Serious,08-08-2019,52.43519,Daylight,Birmingham,-1.909945,2,2,Dry,Single carriageway,Urban,Car
200720E127702,Slight,03-08-2019,52.413339,Daylight,Birmingham,-1.903962,3,2,Dry,Single carriageway,Urban,Car
200720E127802,Slight,30-06-2019,52.431294,Daylight,Birmingham,-1.876713,2,2,Wet or damp,Roundabout,Urban,Car
200720E127902,Slight,02-08-2019,52.431306,Daylight,Birmingham,-1.889068,1,1,Wet or damp,Single carriageway,Urban,Car
200720E127903,Serious,18-09-2019,52.461748,Daylight,Birmingham,-1.856611,1,2,Dry,Single carriageway,Urban,Car
200720E128003,Slight,11-09-2019,52.454918,Daylight,Birmingham,-1.858693,1,2,Dry,Dual carriageway,Urban,Car
200720E128101,Slight,16-09-2019,52.447069,Daylight,Birmingham,-1.928019,1,3,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720E128102,Slight,20-07-2019,52.434284,Daylight,Birmingham,-1.90171,1,2,Wet or damp,Single carriageway,Urban,Car
200720E128201,Slight,16-09-2019,52.445005,Daylight,Birmingham,-1.934496,2,3,Dry,Single carriageway,Urban,Car
200720E128301,Slight,20-09-2019,52.423341,Daylight,Birmingham,-1.938204,2,2,Wet or damp,Single carriageway,Urban,Car
200720E128302,Slight,01-08-2019,52.409496,Daylight,Birmingham,-1.937929,1,1,Dry,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720E128401,Slight,19-09-2019,52.405375,Daylight,Birmingham,-1.978506,2,2,Dry,Dual carriageway,Urban,Car
200720E129102,Serious,01-07-2019,52.420419,Daylight,Birmingham,-1.879831,1,1,Dry,Single carriageway,Urban,Goods over 3.5t. and under 7.5t
200720E129103,Slight,07-09-2019,52.45888,Daylight,Birmingham,-1.800253,2,2,Dry,Dual carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E129303,Slight,17-09-2019,52.443919,Daylight,Birmingham,-1.8346,2,3,Dry,Dual carriageway,Urban,Car
200720E129401,Slight,20-09-2019,52.405375,Daylight,Birmingham,-1.978653,1,2,Dry,Dual carriageway,Urban,Car
200720E129602,Slight,06-08-2019,52.436344,Darkness - lights lit,Birmingham,-1.892585,1,1,Dry,Single carriageway,Urban,Car
200720E129603,Slight,20-09-2019,52.456484,Daylight,Birmingham,-1.894449,2,2,Dry,Single carriageway,Urban,Car
200720E129701,Slight,22-09-2019,52.388025,Daylight,Birmingham,-1.998645,1,2,Dry,Dual carriageway,Urban,Car
200720E129802,Slight,14-05-2019,52.428097,Daylight,Birmingham,-1.922314,1,1,Dry,One way street,Urban,Car
200720E129803,Slight,17-09-2019,52.459158,Daylight,Birmingham,-1.871484,1,1,Dry,Single carriageway,Urban,Car
200720E129901,Slight,22-09-2019,52.442595,Daylight,Birmingham,-1.986432,1,2,Dry,Single carriageway,Urban,Car
200720E130303,Slight,19-09-2019,52.443018,Daylight,Birmingham,-1.833132,1,1,Dry,Dual carriageway,Urban,Car
200720E130402,Slight,03-08-2019,52.432689,Daylight,Birmingham,-1.840231,1,2,Dry,Dual carriageway,Urban,Car
200720E130403,Slight,20-09-2019,52.45883,Daylight,Birmingham,-1.904157,1,2,Wet or damp,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E130502,Slight,01-08-2019,52.405695,Daylight,Birmingham,-1.901333,1,1,Dry,Roundabout,Urban,Car
200720E130503,Slight,21-09-2019,52.448207,Darkness - lights lit,Birmingham,-1.887995,1,2,Wet or damp,Single carriageway,Urban,Car
200720E130602,Slight,02-08-2019,52.40729,Daylight,Birmingham,-1.87678,2,2,Dry,Single carriageway,Urban,Car
200720E130603,Slight,19-09-2019,52.457922,Daylight,Birmingham,-1.893857,1,2,Dry,Roundabout,Urban,Car
200720E131201,Slight,24-09-2019,52.417503,Daylight,Birmingham,-1.94924,1,2,Dry,Single carriageway,Urban,Car
200720E131301,Slight,26-09-2019,52.41059,Daylight,Birmingham,-1.983796,1,2,Dry,Single carriageway,Urban,Car
200720E131601,Slight,25-09-2019,52.421105,Daylight,Birmingham,-1.967911,2,2,Dry,Dual carriageway,Urban,Car
200720E131702,Slight,04-08-2019,52.428981,Daylight,Birmingham,-1.902457,1,2,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720E131703,Slight,22-09-2019,52.44587,Darkness - lights lit,Birmingham,-1.88859,1,2,Dry,Single carriageway,Urban,Car
200720E131801,Slight,27-09-2019,52.398004,Daylight,Birmingham,-2.007463,1,2,Dry,Single carriageway,Urban,Car
200720E131902,Slight,14-08-2019,52.434949,Daylight,Birmingham,-1.849784,4,2,Wet or damp,Single carriageway,Urban,Car
200720E132101,Slight,26-09-2019,52.452378,Daylight,Birmingham,-1.936103,1,2,Dry,Single carriageway,Urban,Car
200720E132203,Slight,18-07-2019,52.465643,Darkness - lights lit,Birmingham,-1.882946,1,1,Dry,Single carriageway,Urban,Car
200720E132801,Slight,02-10-2019,52.408158,Daylight,Birmingham,-1.963657,1,1,Dry,Single carriageway,Urban,Car
